text,is_intervention,is_in
therapeut effect indoor garden programm older peopl live nurs home aim explor activ daili live psycholog well-b older peopl live nurs home also examin effect garden programm enhanc socilais life satisfact reduc loneli promot activ daili live older peopl live nurs home background life nurs home mean limit physic social activ lead declin function mani older peopl design quasi-experiment pre posttest control group design method older peopl nurs home invit join eight week indoor garden programm experiment group older peopl nurs home treat control group receiv regular care without eight week indoor garden programm 26 older peopl 25 femal one male mean age 85 year experiment group 27 20 femal seven male mean age 82 year control group demograph data includ age gender educ level financi situat collect addit inform regard life satisfact loneli physic activ social network situat eight week indoor garden programm experiment control group also detail experiment group subject experi indoor garden programm elicit use open-end question result signific improv life satisfact social network signific decreas percept loneli older peopl experiment group eight week indoor garden programm activ daili live unchang group programm relev clinic practic given posit effect garden activ suggest promot wide among nurs home resid,1,0
depress modifi factor fear older faller transit frailti object fear fall one common fear among community-dwel older peopl seriou health problem fall understand fear fall faller transit frailti may help us identifi effect strategi reduc alreadi vulner group older peopl aim evalu psycholog factor associ fear fall group faller transit frailti compar robust non-frail faller method cross-sect design 301 faller underw assess technolog research independ live clinic dublin seen fear fall measur use modifi fall efficaci scale frailti measur use biolog syndrom model psycholog measur includ assess anxieti depress loneli person factor cognit result frailer faller increas fear fall compar robust faller p 0.001 age femal gender lower cognit score associ greater fear fall robust group frailer faller higher depress score factor associ fear fall multivari analysi odd ratio case level depress disord cesd-8 ≥ 4 frailer faller significantli higher robust 2.6 ci 1.3-5.2 p 0.006 conclus faller transit level frailti may repres particularli vulner group psycholog would benefit intervent stratagi specif intervent compon address depress symptom,1,0
factori structur measur invari pana spanish older adult development theori suggest age-rel chang structur affect paradox intern structur posit neg affect schedul pana watson clark tellegen 1988 test spanish older adult mean confirmatori factor analysi cfa despit wide use measur emot well-b later life aim studi examin compet model intern structur spanish version pana measur invari reliabl extern valid particip repres sampl 585 community-dwel peopl age 60 also complet depress loneli life satisfact measur result show orthogon two-factor model correl error rmsea .057 90 ci .051 .063 srmr .084 cfi .97 nnfi .97 best fit solut measur invari analys confirm two-independ factor structur use across young-old old peopl well male femal show good reliabl pa α .93 na α .83 criterion converg discrimin valid p .01 discuss highlight role age cultur experi express emot,1,0
experienti variabl influenc play foot-clasp mount adult sexual compet male rhesu monkey 1 conclud foot-clasp mount rather social play juvenil rhesu monkey appropri index affect develop essenti normal adult heterosexu behavior male monkey 2 opportun continu social interact peer last least three month result increas frequenc display foot-clasp mount decreas frequenc social play juvenil rhesu monkey 3 opportun continu social experi provid first year life behavior chang manifest immedi opportun delay late second year life chang frequenc play mount correspondingli delay 4 adult heterosexu compet greatest male earliest opportun continu social experi intermedi male delay social experi least male opportun continu social experi peer 5 rear condit produc highest frequenc foot-clasp mount associ highest adult heterosexu compet rear condit produc highest frequenc social play associ lowest adult heterosexu compet,1,0
longev increas posit self-percept age research found older individu posit self-percept age measur 23 year earlier live 7.5 year longer less posit self-percept age advantag remain age gender socioeconom statu loneli function health includ covari also found effect partial mediat live sampl consist 660 individu age 50 older particip community-bas survey ohio longitudin studi age retir olsar match olsar mortal data recent obtain nation death index author abl conduct surviv analys find suggest self-percept stigmat group influenc longev 2002 american psycholog associ inc,1,0
concept analysi malnutrit elderli purpos malnutrit frequent seriou problem elderli today doubt malnutrit contribut significantli morbid mortal elderli unfortun concept malnutrit elderli poorli defin purpos paper clarifi mean malnutrit elderli develop theoret underpin therebi facilit commun regard phenomenon enhanc research effort scope sourc use critic review literatur approach use systemat build develop theoret proposit convent search engin medlin psyinfo cinahl use bibliographi obtain articl also review addit articl identifi key ward use search includ malnutrit geriatr nutrit nutrit statu nutrit assess elderli age weight loss conclus definit malnutrit elderli defin follow faulti inadequ nutrit statu undernourish character insuffici dietari intak poor appetit muscl wast weight loss elderli malnutrit omin sign without intervent present downward trajectori lead poor health decreas qualiti life malnutrit elderli multidimension concept encompass physic psycholog element precipit loss depend loneli chronic ill potenti impact morbid mortal qualiti life,1,0
desir attent seek attent appear intim bound certain principl motiv especi seek observ result action optimum level stimul varieti challeng relationship result cost achiev them—a high cost tend inhibit action enhanc valu subsequ place upon achiev principl appli person relationship thu friendship regard situat involv facilit feedback person hostil involv inhibitori feedback loneli occur feedback situat occur appear depend upon relationship cost benefit interact person concern care psychiatr senil patient commun appear like impos demand attent unreason sever “ costli ” attempt chang commun attitud hope secur greater accept demand appear unrealist substanti benefit could probabl attain mani case train skill especi social skill would enabl patient cope effect world,1,0
age hear health life-cours approach sensori abil declin age 5 world 's popul approxim 360 million peopl disabl hear loss adult disabl hear loss defin threshold greater 40 dbhl better hear ear hear disabl import issu geriatr medicin associ numer health issu includ acceler cognit declin depress increas risk dementia poorer balanc fall hospit earli mortal also social implic reduc commun function social isol loss autonomi impair drive abil financi declin furthermor onset hear loss gradual subtl first affect detect high-pitch sound difficulti understand speech noisi quiet environ consequ delay recogn seek help hear difficulti common age-rel hear loss known cure technolog hear aid cochlear implant assist devic improv threshold restor hear normal therefor health care person hear loss peopl within commun circl requir educ counsel e.g. increas knowledg chang attitud reduc stigma behavior chang e.g. adapt commun strategi environment modif e.g. reduc nois articl consid caus consequ magnitud hear loss life-cours perspect examin concept `` hear health '' achiev implic polici practic,1,0
combat social isol cognit declin play physic digit game two signific problem among elderli commun social isol cognit declin occur age problem readili compound exampl reduc level attent associ increas risk fall keep activ commonli advis reduc problem mani senior group exist meet regularli engag activ encourag social interact howev mobil problem mean elderli peopl may abl attend group often address problem set creat experi confer benefit increas social connected inhibit cognit declin without user leav home user group select one game play togeth memori game requir player close attend experi design develop digit multiplay version memori browser tablet target elderli user game integr custom social network enabl user talk play without physic space also incorpor user-gener content social network pilot studi carri two user group across two european countri investig whether experi play physic game player present physic space differ significantli play differ locat use digit version game order uncov differ studi compar intrins motiv experi studi use within-subject design user play memori real card togeth physic space afterward complet intrins motiv inventori imi user also play digit version game via social network time user differ locat use pc smart tv tablet commun use voip afterward complet imi data collect analys use inform semi-structur interview paper present find pilot studi find outlin main studi futur work investig improv game 's benefit,1,0
view older commun resid toward mental health problem seri focu group conduct two senior center two senior congreg hous develop greater baltimor metropolitan area order examin view older adult mental health servic among sever theme emerg focu group depress anxieti seen common older adult b barrier stigma cost fragment servic transport primari care physician made difficult seek care c senior felt resili younger adult senior mix reaction other experienc mental health problem e individu respons mental health care f mental health treatment work g mental health problem could prevent among recommend made author increas use senior center reduc social isol promot health educ well-b nontradit set also primari care physician must encourag educ recognit screen assess treatment referr mental health problem older adult lastli physician need understand stigma mental health problem caus difficulti older adult speak mental health issu,1,0
